,hidden,reg,lr,acc
0,128,0.0,0.1,0.1146
1,128,0.0,0.01,0.6552833333333333
2,128,0.0,0.001,0.9441333333333335
3,128,0.0,0.0001,0.8809833333333333
4,128,0.1,0.1,0.11258333333333333
5,128,0.1,0.01,0.48723333333333335
6,128,0.1,0.001,0.9438166666666667
7,128,0.1,0.0001,0.8841333333333333
8,128,0.01,0.1,0.11258333333333333
9,128,0.01,0.01,0.19983333333333336
10,128,0.01,0.001,0.9413
11,128,0.01,0.0001,0.8823833333333333
12,128,0.001,0.1,0.11258333333333333
13,128,0.001,0.01,0.3013166666666666
14,128,0.001,0.001,0.9484666666666666
15,128,0.001,0.0001,0.8817666666666668
16,256,0.0,0.1,0.11258333333333333
17,256,0.0,0.01,0.7311833333333334
18,256,0.0,0.001,0.9503
19,256,0.0,0.0001,0.8947
20,256,0.1,0.1,0.11258333333333333
21,256,0.1,0.01,0.5653166666666667
22,256,0.1,0.001,0.9490999999999999
23,256,0.1,0.0001,0.8933166666666666
24,256,0.01,0.1,0.11266666666666666
25,256,0.01,0.01,0.52945
26,256,0.01,0.001,0.9511333333333333
27,256,0.01,0.0001,0.8932
28,256,0.001,0.1,0.11258333333333333
29,256,0.001,0.01,0.6486000000000001
30,256,0.001,0.001,0.9497333333333333
31,256,0.001,0.0001,0.8979166666666666
32,512,0.0,0.1,0.11258333333333333
33,512,0.0,0.01,0.7085
34,512,0.0,0.001,0.9545
35,512,0.0,0.0001,0.9019333333333334
36,512,0.1,0.1,0.11266666666666666
37,512,0.1,0.01,0.5622833333333334
38,512,0.1,0.001,0.9561999999999999
39,512,0.1,0.0001,0.90055
40,512,0.01,0.1,0.11306666666666668
41,512,0.01,0.01,0.8029666666666666
42,512,0.01,0.001,0.9563833333333334
43,512,0.01,0.0001,0.9030000000000001
44,512,0.001,0.1,0.11465
45,512,0.001,0.01,0.50805
46,512,0.001,0.001,0.9558
47,512,0.001,0.0001,0.9001833333333333
48,1024,0.0,0.1,0.11293333333333333
49,1024,0.0,0.01,0.8497666666666668
50,1024,0.0,0.001,0.9582833333333334
51,1024,0.0,0.0001,0.9050166666666666
52,1024,0.1,0.1,0.11286666666666667
53,1024,0.1,0.01,0.8759500000000001
54,1024,0.1,0.001,0.9583833333333333
55,1024,0.1,0.0001,0.90855
56,1024,0.01,0.1,0.11293333333333333
57,1024,0.01,0.01,0.89085
58,1024,0.01,0.001,0.9576499999999999
59,1024,0.01,0.0001,0.9096500000000001
60,1024,0.001,0.1,0.11408333333333334
61,1024,0.001,0.01,0.8695166666666667
62,1024,0.001,0.001,0.9575833333333332
63,1024,0.001,0.0001,0.9104833333333333
